test/success_rate,test/episode,stats_g/std,test/steps,test/reward,train/reward,stats_g/mean,train/episode,train/success_rate,stats_o/mean,train/steps,stats_o/std,test/mean_Q,epoch
0.0,20.0,0.9947775,1000.0,-233.6516876026856,-301.2262985759011,-0.016846584,30.0,0.0,-0.022131402,1500.0,1.1856904,-3.0586429,0
0.0,40.0,0.96013117,2000.0,-144.27011506392458,-226.44433685728995,0.020474298,60.0,0.0,-0.0069469716,3000.0,1.1295565,-3.4254184,1
0.0,60.0,0.9401854,3000.0,-197.00557829821173,-155.417269068285,0.01605938,90.0,0.0,-0.015915766,4500.0,1.0823187,-4.245109,2
0.0,80.0,0.9176535,4000.0,-162.1486886410492,-230.06853334494798,0.021023838,120.0,0.0,0.014243706,6000.0,1.0508705,-5.1301513,3
0.07500000000000001,100.0,0.90999246,5000.0,-117.23500728779823,-149.53290132471213,0.016601445,150.0,0.0,0.026953023,7500.0,1.0249357,-4.9337454,4
0.25,120.0,0.8984151,6000.0,-112.41032300075369,-121.29557085570823,0.015837185,180.0,0.0,0.029553734,9000.0,1.0006446,-4.8136435,5
0.475,140.0,0.89729846,7000.0,-119.13481751711758,-102.08567642806094,0.0146145765,210.0,0.03333333333333333,0.027869621,10500.0,0.9803355,-4.6415286,6
0.65,160.0,0.8896993,8000.0,-81.2287596601934,-135.333686234236,0.015254794,240.0,0.06666666666666667,0.02419027,12000.0,0.96365577,-5.1727805,7
